sample_id,detector,link_strategy,route_label,keep_fraction,activated,activation_reason,fragmented_node_fraction,component_count,protected_components,removed_components,removed_nodes,removed_edges,baseline_nodes,shadow_nodes,estimated_total_nodes,baseline_edge_tp,shadow_edge_tp,edge_tp_delta,baseline_edge_fp,shadow_edge_fp,baseline_edge_fn,shadow_edge_fn,baseline_edge_jaccard,shadow_edge_jaccard,edge_jaccard_delta,baseline_adjusted_edge_jaccard,shadow_adjusted_edge_jaccard,adjusted_edge_delta,baseline_node_recall,shadow_node_recall,node_recall_delta,baseline_division_tp,shadow_division_tp,division_tp_delta,baseline_division_fp,shadow_division_fp,source_zero_perturbation
44b6_0113de3b,components,greedy,components/greedy,0.97,False,fragmentation_below_gate,0.258945656333716,3393,0,0,0,0,20904,20904,25755,46,46,0,4,4,4,4,0.8518518518518519,0.8518518518518519,0.0,0.8678966328005349,0.8678966328005349,0.0,1.0,1.0,0.0,0,0,0,0,0,True
44b6_0b24845f,local_maxima,motion_mutual,local_maxima/motion_mutual,0.97,True,fragmentation_gate_passed,0.8457708772259424,33045,0,2236,2236,0,74519,72283,32795,6,6,0,7,7,43,43,0.10714285714285714,0.10714285714285714,0.0,0.09351142377975735,0.0942419358351665,0.0007305120554091521,0.43137254901960786,0.39215686274509803,-0.03921568627450983,0,0,0,0,0,True
44b6_24264f12,components,greedy,components/greedy,0.97,True,fragmentation_gate_passed,0.5421235123231187,3430,0,320,320,0,10671,10351,26353,38,38,0,12,12,183,183,0.1630901287553648,0.1630901287553648,0.0,0.17279520749077112,0.17299324506221164,0.00019803757144051803,0.26521739130434785,0.2565217391304348,-0.008695652173913049,0,0,0,0,0,True
44b6_d754aa59,components,greedy,components/greedy,0.97,True,fragmentation_gate_passed,0.572801537722249,2346,0,187,187,0,6243,6056,5171,41,41,0,12,12,29,29,0.5,0.5,0.0,0.48963450009669307,0.491442660994005,0.00180816089731195,0.8472222222222222,0.8333333333333334,-0.01388888888888884,0,0,0,0,0,True
44b6_12dfb391,local_maxima,motion_mutual,local_maxima/motion_mutual,0.97,False,fragmentation_below_gate,0.41291064625116813,9671,0,0,0,0,41733,41733,58672,362,362,0,114,114,411,411,0.4081172491544532,0.4081172491544532,0.0,0.4198998679222254,0.4198998679222254,0.0,0.6598984771573604,0.6598984771573604,0.0,0,0,0,0,0,True
44b6_0c582fdc,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.23535937605056143,4554,1631,0,0,0,29746,29746,27958,27,27,0,26,26,43,43,0.28125,0.28125,0.0,0.2794513198368982,0.2794513198368982,0.0,0.7323943661971831,0.7323943661971831,0.0,0,0,0,6,6,True
44b6_2a2eff9f,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.1661287634286407,7289,2603,0,0,0,65997,65997,56367,155,155,0,94,94,55,55,0.5098684210526315,0.5098684210526315,0.0,0.5011575922082069,0.5011575922082069,0.0,1.0,1.0,0.0,0,0,0,40,40,True
6bba_05db0fb1,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.21027484670215085,8503,2996,0,0,0,64254,64254,69800,537,537,0,279,279,646,646,0.36730506155950754,0.36730506155950754,0.0,0.37022350550135424,0.37022350550135424,0.0,0.6330349877949553,0.6330349877949553,0.0,1,1,0,107,107,True
6bba_32db13fc,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.3301489414420615,6793,2354,0,0,0,36323,36323,38705,393,393,0,301,301,418,418,0.3534172661870504,0.3534172661870504,0.0,0.3555922821489611,0.3555922821489611,0.0,0.7250580046403712,0.7250580046403712,0.0,1,1,0,132,132,True
6bba_b329af44,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.21565472048248666,9304,3468,0,0,0,68976,68976,62465,692,692,0,446,446,576,576,0.40373395565927656,0.40373395565927656,0.0,0.3995256601573194,0.3995256601573194,0.0,0.7887537993920972,0.7887537993920972,0.0,1,1,0,164,164,True
6bba_ebdf3b34,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.2501546710661992,7967,2688,0,0,0,53339,53339,56847,492,492,0,229,229,311,311,0.47674418604651164,0.47674418604651164,0.0,0.47968615062626285,0.47968615062626285,0.0,0.8016528925619835,0.8016528925619835,0.0,1,1,0,103,103,True
6bba_ebff6e76,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.3618632575007238,14113,4679,0,0,0,65627,65627,41596,499,499,0,590,590,765,765,0.2691477885652643,0.2691477885652643,0.0,0.2535984797206353,0.2535984797206353,0.0,0.7465857359635811,0.7465857359635811,0.0,0,0,0,194,194,True
6bba_55b7eebe,components,greedy,components/greedy,0.97,False,fragmentation_below_gate,0.44250490944795984,1348,0,0,0,0,4583,4583,5257,251,251,0,77,77,437,437,0.3281045751633987,0.3281045751633987,0.0,0.3323112041088073,0.3323112041088073,0.0,0.5049645390070922,0.5049645390070922,0.0,0,0,0,0,0,True
