sample_id,detector,link_strategy,route_label,keep_fraction,activated,activation_reason,fragmented_node_fraction,component_count,protected_components,removed_components,removed_nodes,removed_edges,baseline_nodes,shadow_nodes,estimated_total_nodes,baseline_edge_tp,shadow_edge_tp,edge_tp_delta,baseline_edge_fp,shadow_edge_fp,baseline_edge_fn,shadow_edge_fn,baseline_edge_jaccard,shadow_edge_jaccard,edge_jaccard_delta,baseline_adjusted_edge_jaccard,shadow_adjusted_edge_jaccard,adjusted_edge_delta,baseline_node_recall,shadow_node_recall,node_recall_delta,baseline_division_tp,shadow_division_tp,division_tp_delta,baseline_division_fp,shadow_division_fp,source_zero_perturbation
44b6_0113de3b,components,greedy,components/greedy,0.95,False,fragmentation_below_gate,0.258945656333716,3393,0,0,0,0,20904,20904,25755,46,46,0,4,4,4,4,0.8518518518518519,0.8518518518518519,0.0,0.8678966328005349,0.8678966328005349,0.0,1.0,1.0,0.0,0,0,0,0,0,True
44b6_0113de3b,components,greedy,components/greedy,0.97,False,fragmentation_below_gate,0.258945656333716,3393,0,0,0,0,20904,20904,25755,46,46,0,4,4,4,4,0.8518518518518519,0.8518518518518519,0.0,0.8678966328005349,0.8678966328005349,0.0,1.0,1.0,0.0,0,0,0,0,0,True
44b6_0113de3b,components,greedy,components/greedy,0.99,False,fragmentation_below_gate,0.258945656333716,3393,0,0,0,0,20904,20904,25755,46,46,0,4,4,4,4,0.8518518518518519,0.8518518518518519,0.0,0.8678966328005349,0.8678966328005349,0.0,1.0,1.0,0.0,0,0,0,0,0,True
44b6_0b24845f,local_maxima,motion_mutual,local_maxima/motion_mutual,0.95,True,fragmentation_gate_passed,0.8457708772259424,33045,0,3726,3726,0,74519,70793,32795,6,6,0,7,7,43,43,0.1071428571428571,0.1071428571428571,0.0,0.0935114237797573,0.0947287260688693,0.001217302289112,0.4313725490196078,0.392156862745098,-0.0392156862745098,0,0,0,0,0,True
44b6_0b24845f,local_maxima,motion_mutual,local_maxima/motion_mutual,0.97,True,fragmentation_gate_passed,0.8457708772259424,33045,0,2236,2236,0,74519,72283,32795,6,6,0,7,7,43,43,0.1071428571428571,0.1071428571428571,0.0,0.0935114237797573,0.0942419358351665,0.0007305120554091,0.4313725490196078,0.392156862745098,-0.0392156862745098,0,0,0,0,0,True
44b6_0b24845f,local_maxima,motion_mutual,local_maxima/motion_mutual,0.99,True,fragmentation_gate_passed,0.8457708772259424,33045,0,745,745,0,74519,73774,32795,6,6,0,7,7,43,43,0.1071428571428571,0.1071428571428571,0.0,0.0935114237797573,0.0937548188966087,0.0002433951168514,0.4313725490196078,0.392156862745098,-0.0392156862745098,0,0,0,0,0,True
44b6_0c582fdc,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.95,False,fragmentation_below_gate,0.2353593760505614,4554,1631,0,0,0,29746,29746,27958,27,27,0,26,26,43,43,0.28125,0.28125,0.0,0.2794513198368982,0.2794513198368982,0.0,0.7323943661971831,0.7323943661971831,0.0,0,0,0,6,6,True
44b6_0c582fdc,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.2353593760505614,4554,1631,0,0,0,29746,29746,27958,27,27,0,26,26,43,43,0.28125,0.28125,0.0,0.2794513198368982,0.2794513198368982,0.0,0.7323943661971831,0.7323943661971831,0.0,0,0,0,6,6,True
44b6_0c582fdc,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.99,False,fragmentation_below_gate,0.2353593760505614,4554,1631,0,0,0,29746,29746,27958,27,27,0,26,26,43,43,0.28125,0.28125,0.0,0.2794513198368982,0.2794513198368982,0.0,0.7323943661971831,0.7323943661971831,0.0,0,0,0,6,6,True
44b6_12dfb391,local_maxima,motion_mutual,local_maxima/motion_mutual,0.95,False,fragmentation_below_gate,0.4129106462511681,9671,0,0,0,0,41733,41733,58672,362,362,0,114,114,411,411,0.4081172491544532,0.4081172491544532,0.0,0.4198998679222254,0.4198998679222254,0.0,0.6598984771573604,0.6598984771573604,0.0,0,0,0,0,0,True
