event_id,fold,family,route,rank
6bba_3c5691b6:t22,1,6bba,components/greedy,20
6bba_3c5691b6:t6,1,6bba,components/greedy,23
6bba_3c5691b6:t6,1,6bba,components/greedy,6
6bba_5c039895:t10,1,6bba,components/greedy,77
6bba_5c039895:t52,1,6bba,components/greedy,64
6bba_5c039895:t58,1,6bba,components/greedy,68
6bba_5c824876:t2,1,6bba,components/greedy,93
6bba_87289e13:t77,1,6bba,components/greedy,64
6bba_907271db:t96,1,6bba,components/greedy,48
6bba_d3da753b:t63,1,6bba,components/greedy,175
6bba_debd7bfa:t12,1,6bba,components/greedy,199
6bba_debd7bfa:t26,1,6bba,components/greedy,859
6bba_debd7bfa:t26,1,6bba,components/greedy,831
6bba_debd7bfa:t36,1,6bba,components/greedy,420
6bba_debd7bfa:t37,1,6bba,components/greedy,254
6bba_fe670320:t66,1,6bba,components/greedy,30
44b6_c50204e0:t28,2,44b6,cfar_sidelobe/bipartite,11866
44b6_c50204e0:t65,2,44b6,cfar_sidelobe/bipartite,3076
6bba_2312ac41:t10,2,6bba,components/greedy,101
6bba_2312ac41:t19,2,6bba,components/greedy,195
6bba_3fda6b25:t28,2,6bba,components/greedy,296
6bba_57b7cc1e:t12,2,6bba,cfar_sidelobe/bipartite,3643
6bba_57b7cc1e:t12,2,6bba,cfar_sidelobe/bipartite,13110
6bba_57b7cc1e:t12,2,6bba,cfar_sidelobe/bipartite,14383
6bba_57b7cc1e:t12,2,6bba,cfar_sidelobe/bipartite,3440
6bba_57b7cc1e:t77,2,6bba,cfar_sidelobe/bipartite,10598
6bba_6321a359:t8,2,6bba,components/greedy,22
6bba_7d3058ae:t32,2,6bba,components/greedy,124
6bba_7d3058ae:t32,2,6bba,components/greedy,117
6bba_7d3058ae:t83,2,6bba,components/greedy,231
6bba_9e23430b:t89,2,6bba,components/greedy,648
6bba_d2b9fc0c:t72,2,6bba,components/greedy,1252
6bba_d2b9fc0c:t78,2,6bba,components/greedy,1945
6bba_d2b9fc0c:t78,2,6bba,components/greedy,923
44b6_5f15d135:t36,3,44b6,local_maxima/motion_mutual,9167
44b6_5f15d135:t36,3,44b6,local_maxima/motion_mutual,9155
44b6_5f15d135:t36,3,44b6,local_maxima/motion_mutual,8523
44b6_5f15d135:t36,3,44b6,local_maxima/motion_mutual,7608
44b6_5f15d135:t36,3,44b6,local_maxima/motion_mutual,9750
44b6_5f15d135:t36,3,44b6,local_maxima/motion_mutual,9770
6bba_2819ca14:t61,3,6bba,components/greedy,71
6bba_2819ca14:t61,3,6bba,components/greedy,145
6bba_3abfe10a:t81,3,6bba,cfar_sidelobe/bipartite,8442
6bba_67ebd073:t86,3,6bba,components/greedy,115
6bba_8b7818bf:t3,3,6bba,components/greedy,18
6bba_8b7818bf:t33,3,6bba,components/greedy,106
6bba_cdcfe533:t28,3,6bba,components/greedy,1398
6bba_cdcfe533:t48,3,6bba,components/greedy,1757
6bba_cdcfe533:t52,3,6bba,components/greedy,1513
6bba_cdcfe533:t86,3,6bba,components/greedy,2363
6bba_ef7b4f7e:t89,3,6bba,components/greedy,43
6bba_ef7b4f7e:t89,3,6bba,components/greedy,125
6bba_fc5f39dc:t24,3,6bba,cfar_sidelobe/bipartite,499
6bba_fc5f39dc:t24,3,6bba,cfar_sidelobe/bipartite,523
6bba_fc5f39dc:t54,3,6bba,cfar_sidelobe/bipartite,191
