peak_id,sample_id,t,z_um,y_um,x_um,confidence,det_threshold,pool_kernel_um,tta
unet:44b6_5f15d135:t36:p00000,44b6_5f15d135,36,0.0,42.25,19.5,0.9997925162315369,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00001,44b6_5f15d135,36,0.0,53.625,11.375,0.9995800852775574,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00002,44b6_5f15d135,36,0.0,55.25,4.875,0.9981626868247986,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00003,44b6_5f15d135,36,0.0,55.25,19.5,0.9997596144676208,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00004,44b6_5f15d135,36,0.0,65.0,22.75,0.9913955330848694,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00005,44b6_5f15d135,36,1.625,34.125,0.0,0.9939576387405396,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00006,44b6_5f15d135,36,1.625,52.0,27.625,0.999198853969574,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00007,44b6_5f15d135,36,1.625,78.0,3.25,0.9956423044204712,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00008,44b6_5f15d135,36,1.625,86.125,19.5,0.9979711174964905,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00009,44b6_5f15d135,36,3.25,30.875,13.0,0.999658465385437,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00010,44b6_5f15d135,36,3.25,35.75,6.5,0.999849796295166,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00011,44b6_5f15d135,36,4.875,42.25,9.75,0.9997757077217102,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00012,44b6_5f15d135,36,4.875,65.0,34.125,0.9997361302375793,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00013,44b6_5f15d135,36,4.875,71.5,17.875,0.9966657757759094,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00014,44b6_5f15d135,36,4.875,73.125,35.75,0.9978916049003601,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00015,44b6_5f15d135,36,4.875,76.375,3.25,0.9985117316246033,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00016,44b6_5f15d135,36,4.875,81.25,29.25,0.9965552091598511,0.97,3.0,xy_d4_8_view
