case_id,sample_id,t,cohort,baseline_status,unet_parent_candidates,unet_daughter_1_candidates,unet_daughter_2_candidates,parent_distance_um,daughter_1_distance_um,daughter_2_distance_um,parent_frame_peak_count,daughter_frame_peak_count,distinct_daughter_pair,complete_triplet,det_threshold,pool_kernel_um,tta,graph_mutated,edges_inferred
DEV-44B6-5F15-36,44b6_5f15d135,36,target,no_parent_detection_within_7um,2,2,1,2.4375,0.9084026158592896,1.284675299443404,277,289,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-44B6-7060-49,44b6_706092f0,49,target,no_parent_detection_within_7um,1,1,1,0.40625,,,338,337,False,False,0.97,3.0,xy_d4_8_view,False,False
DEV-44B6-74D0-58,44b6_74d0c52e,58,target,fewer_than_two_daughter_lineages_within_7um,1,2,1,2.632800908728193,1.1490485194281397,0.40625,112,104,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-44B6-AAF8-61,44b6_aaf8b0ea,61,target,no_pair_inside_14um_formation_radius,1,1,1,1.1490485194281397,,,184,178,False,False,0.97,3.0,xy_d4_8_view,False,False
DEV-44B6-C502-28,44b6_c50204e0,28,target,projected_actions_not_official_tp,1,0,1,1.7235727791422095,,,505,529,False,False,0.97,3.0,xy_d4_8_view,False,False
DEV-44B6-C502-65,44b6_c50204e0,65,target,projected_actions_not_official_tp,1,1,1,0.8125,3.494694639736067,3.5648292823780494,573,579,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6BBA-2312-DAUGHTER,6bba_2312ac41,10,target,fewer_than_two_daughter_lineages_within_7um,2,1,2,3.494694639736067,3.374565944310468,1.284675299443404,216,212,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6BBA-2312-PARENT,6bba_2312ac41,19,target,no_parent_detection_within_7um,1,2,1,3.447145558284419,3.5648292823780494,1.86167137607581,183,182,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6BBA-2819-CONTROL,6bba_2819ca14,61,positive_control,official_positive,1,1,1,2.2980970388562794,1.7235727791422095,2.03125,53,58,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6BBA-3C56-CONTROL,6bba_3c5691b6,22,positive_control,official_positive,1,1,1,1.8168052317185792,0.9084026158592896,1.6750116604071745,60,60,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6BBA-3FDA-CONTROL,6bba_3fda6b25,28,positive_control,official_positive,1,1,1,2.03125,3.350023320814349,0.9084026158592896,102,103,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6BBA-7D30-FORMATION,6bba_7d3058ae,32,target,no_pair_inside_14um_formation_radius,2,1,2,3.8540258983302125,1.7235727791422095,0.40625,83,84,True,True,0.97,3.0,xy_d4_8_view,False,False
