case_id,sample_id,t,cohort,baseline_status,source_detector,source_link_strategy,anchor_count,parent_peak_count,anchored_parent_count,division_action_count,registered_geometric_action_count,official_tp_action_count,official_positive_available,source_zero_perturbation,semantic_scoring_enabled,assignment_enabled,graph_mutated
DEV-44b6_5f15d135-t36-p125000000011,44b6_5f15d135,36,baseline_unavailable,no_parent_detection_within_7um,local_maxima,motion_mutual,501,277,271,6618,4,4,True,True,False,False,False
DEV-44b6_706092f0-t49-p446000000015,44b6_706092f0,49,baseline_unavailable,no_parent_detection_within_7um,cfar_sidelobe,bipartite,579,338,277,4840,0,0,False,True,False,False,False
DEV-44b6_74d0c52e-t58-p296000000021,44b6_74d0c52e,58,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,cfar_sidelobe,bipartite,232,112,73,628,2,2,True,True,False,False,False
DEV-44b6_aaf8b0ea-t61-p390000000000,44b6_aaf8b0ea,61,baseline_unavailable,no_pair_inside_14um_formation_radius,cfar_sidelobe,bipartite,397,184,154,1539,0,0,False,True,False,False,False
DEV-44b6_c50204e0-t28-p171000000043,44b6_c50204e0,28,baseline_nonofficial_action,projected_actions_not_official_tp,cfar_sidelobe,bipartite,639,505,502,17868,0,0,False,True,False,False,False
DEV-44b6_c50204e0-t65-p208000000033,44b6_c50204e0,65,baseline_nonofficial_action,projected_actions_not_official_tp,cfar_sidelobe,bipartite,829,573,573,24424,1,1,True,True,False,False,False
DEV-6bba_2312ac41-t10-p11000190,6bba_2312ac41,10,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,components,greedy,173,216,201,2074,1,1,True,True,False,False,False
DEV-6bba_2312ac41-t19-p20000316,6bba_2312ac41,19,baseline_unavailable,no_parent_detection_within_7um,components,greedy,160,183,174,1599,1,1,True,True,False,False,False
DEV-6bba_2819ca14-t61-p62000719,6bba_2819ca14,61,positive_control,official_positive,components,greedy,48,53,46,60,1,1,True,True,False,False,False
DEV-6bba_3abfe10a-t81-p82001296,6bba_3abfe10a,81,baseline_unavailable,no_parent_detection_within_7um,cfar_sidelobe,bipartite,597,777,690,28725,1,1,True,True,False,False,False
DEV-6bba_3c5691b6-t22-p23000172,6bba_3c5691b6,22,positive_control,official_positive,components,greedy,42,60,49,74,1,1,True,True,False,False,False
DEV-6bba_3c5691b6-t6-p7000054,6bba_3c5691b6,6,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,components,greedy,38,71,56,100,2,2,True,True,False,False,False
DEV-6bba_3fda6b25-t28-p29000542,6bba_3fda6b25,28,positive_control,official_positive,components,greedy,135,102,93,405,1,1,True,True,False,False,False
DEV-6bba_57b7cc1e-t12-p13000378,6bba_57b7cc1e,12,baseline_nonofficial_action,projected_actions_not_official_tp,cfar_sidelobe,bipartite,871,1002,997,43211,6,6,True,True,False,False,False
DEV-6bba_57b7cc1e-t23-p24000720,6bba_57b7cc1e,23,baseline_unavailable,no_parent_detection_within_7um,cfar_sidelobe,bipartite,876,995,986,42983,1,1,True,True,False,False,False
DEV-6bba_57b7cc1e-t77-p78002270,6bba_57b7cc1e,77,baseline_unavailable,no_parent_detection_within_7um,cfar_sidelobe,bipartite,857,995,967,48686,2,2,True,True,False,False,False
