sample_id,gt_parent_id,gt_child_1_id,gt_child_2_id,family,fold,t,parent_candidate_count,daughter_1_candidate_count,daughter_2_candidate_count,distinct_formed_action_count,official_tp_action_count,status,canonical_parent_id,canonical_child_1_id,canonical_child_2_id,canonical_role_distance_um,pair_field_unpadded_crop_coverage,pair_field_available,graph_mutated
44b6_267148e4,16000000001,17000000001,17000000002,44b6,2,3,1,1,1,1,1,official_positive,44b6_267148e4:t3:cf74,44b6_267148e4:t4:cf34,44b6_267148e4:t4:cf6,5.5159073481417815,0.8767016601562498,True,False
44b6_2a2eff9f,160000000048,161000000049,161000000048,44b6,3,11,1,1,1,1,1,official_positive,44b6_2a2eff9f:t11:cf80,44b6_2a2eff9f:t12:cf12,44b6_2a2eff9f:t12:cf145,5.611190492985651,0.5169270833333335,True,False
44b6_706092f0,446000000015,447000000015,447000000016,44b6,1,49,0,1,1,0,0,no_parent_detection_within_7um,,,,,,False,False
44b6_74d0c52e,296000000021,297000000022,297000000021,44b6,1,58,1,1,0,0,0,missing_daughter_detection_within_7um,,,,,,False,False
44b6_7a302da0,263000000019,264000000020,264000000019,44b6,3,90,3,2,2,12,12,official_positive,44b6_7a302da0:t90:cf433,44b6_7a302da0:t91:cf140,44b6_7a302da0:t91:cf76,5.2325357212424795,0.8262918037280702,True,False
44b6_9be80b04,476000000008,477000000009,477000000008,44b6,1,77,2,1,1,2,2,official_positive,44b6_9be80b04:t77:cf304,44b6_9be80b04:t78:cf18,44b6_9be80b04:t78:cf23,6.8769332611831,0.9999999999999998,True,False
44b6_aaf8b0ea,390000000000,391000000000,391000000001,44b6,2,61,1,1,1,0,0,no_distinct_daughter_pair,,,,,,False,False
44b6_c50204e0,171000000043,172000000043,172000000044,44b6,2,28,2,2,1,4,4,official_positive,44b6_c50204e0:t28:cf287,44b6_c50204e0:t29:cf17,44b6_c50204e0:t29:cf86,7.442108051545336,1.0,True,False
44b6_c50204e0,208000000033,209000000034,209000000033,44b6,2,65,1,1,1,1,1,official_positive,44b6_c50204e0:t65:cf10,44b6_c50204e0:t66:cf5,44b6_c50204e0:t66:cf9,8.40986017746875,1.0,True,False
44b6_d2f34f90,275000000002,276000000002,276000000003,44b6,1,51,1,0,0,0,0,missing_daughter_detection_within_7um,,,,,,False,False
